번호,제목,저자,출판사,출판일,Column1
1.0,"Laboratory animal, pet animal, farm animal, wild animal: which gets the best deal?","Wolfensohn, S.; Honess, P.",UNIVERSITIES FEDERATION FOR ANIMAL WELFARE,2007.0,
2.0,"For Our Children: The Ethics of Animal Experimentation in the Age of Genetic Engineering; Welfare of Production Animals: Assessment and Management of Risks; Meat Science, 2nd Edition: An Introductory Text; Chronic Pain in Small Animal Medicine",unknown,UNIVERSITIES FEDERATION FOR ANIMAL WELFARE,2010.0,
3.0,"The concepts of ""severe suffering"" of experimental animals and ""essential needs of man and animal"" as used in cost-benefit analyses","Stafleu, F.;Vorstenbosch, J.;Tramper, R.;de Jong, M.;Eckelboom, E.;Krijger, F.",Elsevier,2000.0,
4.0,Results of the Animal Needs Index (ANI-35L) compared to animal-based parameters in free-range and organic laying hen flocks in Austria,"Zaludik, K.; Lugmair, A.; Baumung, R.; Troxler, J.; Niebuhr, K.",UNIVERSITIES FEDERATION FOR ANIMAL WELFARE,2007.0,
5.0,Evaluating the cost of nutrient variance and risk of meeting the animal's requirements using linear and nonlinear programming techniques,"Johnson, H. A.; Fadel, J. G.; Howitt, R. E.",American Society of Animal Science,1994.0,
6.0,An analysis of animal-based versus resource-based comments in official animal welfare inspection reports from organic and conventional farms in Sweden,"Keeling, L.J.",UNIVERSITIES FEDERATION FOR ANIMAL WELFARE,2009.0,
7.0,Extension of the Animal Needs Index for laying hens with animal-related parametres,"Evers, J.; Lips, D.; De Tavernier, J.; Buyse, J.; Decuypere, E.","Institute of Genetics and Animal Breeding, Polish Academy of Sciences,",2005.0,
8.0,Animal-based parameters are no panacea for on-farm monotoring of animal welfare,"Bracke, M. B. M.",UNIVERSITIES FEDERATION FOR ANIMAL WELFARE,2007.0,
9.0,"Fodder enrichment and sustaining animal well-being as methods of improving quality of animal-derived food products, in the aspect of consumer perception and acceptance","Olewnik-Miko흢ajewska,  Anna; Guzek,  Dominika; G흢훳bska,  Dominika; Sajdakowska,  Marta; Gutkowska,  Krystyna",Institute of Genetics and Animal Breeding,2016.0,
10.0,Four types of activities that affect animals: implications for animal welfare science and animal ethics philosophy,"Fraser, D.; MacRae, A.M.",UNIVERSITIES FEDERATION FOR ANIMAL WELFARE,2011.0,
11.0,"ANIMAL BEHAVIOR AND WELL-BEING SYMPOSIUM: The Common Swine Industry Audit: Future steps to assure positive on-farm animal welfare utilizing validated, repeatable and feasible animal-based measures",M. Pairis-Garcia; S. J. Moeller,American Society of Animal Science [etc.],2017.0,
12.0,Effects of Animal-to-Animal Exchange of Ruminal Contents on the Feed Intake and Ruminal Characteristics of Fed and Fasted Lambs.,N. A. Cole,American Society of Animal Science [etc.],1991.0,
13.0,Computer Simulation of Animal Growth and Animal-Plant Interactions in a Grazing Situation,"Brown, W. F.;Klopfenstein, T. J.;Moser, L. E.",American Society of Animal Science [etc.],1984.0,
14.0,Contribution of genetic influences to animal-to-animal variation in myoglobin content and beef lean color stability,"King, D.A.; Shackelford, S.D.; Kuehn, L.A.; Kemp, C.M.; Rodriguez, A.B.; Thallman, R.M.; Wheeler, T.L.",AMERICAN SOCIETY OF ANIMAL SCIENCE,2010.0,
15.0,Repeatability of some animal-related variables in dairy cows and buffaloes,"De Rosa, G.; Tripaldi, C.; Napolitano, F.; Saltalamacchia, F.; Grasso, F.; Bisegna, V.; Bordi, A.",UNIVERSITIES FEDERATION FOR ANIMAL WELFARE,2003.0,
16.0,"""The future is animal-friendly""","Nodem, J.-E.",PJB PUBLICATIONS LTD,2003.0,
17.0,"Animal-based measures for the assessment of welfare state of dairy cattle, pigs and laying hens: consensus of expert opinion","Whay, H. R.; Main, D. C. J.; Green, L. E.; Webster, A. J. F.",UNIVERSITIES FEDERATION FOR ANIMAL WELFARE,2003.0,
18.0,Gazing as a help requesting behavior: a comparison of dogs participating in animal-assisted interventions and pet dogs,"Cavalli, C.; Carballo, F.; Dzik, M. V.; Bentosela, M.",Springer Nature,2019.0,
19.0,An animal-based welfare assessment of group-housed calves on UK dairy farms,"Whay, H. R.; Main, D. C. J.; Green, L. E.; Webster, A. J. F.",UNIVERSITIES FEDERATION FOR ANIMAL WELFARE,2003.0,
20.0,Editorial: Precision livestock farming: a ?쁯er animal??approach using advanced monitoring technologies,I. Halachmi ; M. Guarino,Cambridge University Press,2016.0,
21.0,"Performance, lean meat proportion and behaviour of fattening pigs given a liquid diet at different animal/feeding-place ratios","Rasmussen, D. K.; Weber, R.; Wechsler, B.",DURRANT PERIODICALS,2006.0,
22.0,Inter-observer reliability of animal-based welfare indicators included in the Animal Welfare Indicators welfare assessment protocol for dairy goats,A. Vieira; M. Battini; E. Can; S. Mattiello; G. Stilwell,Cambridge University Press,2018.0,
23.0,Improved Feed Technologies for Expanding the Productivity Frontiers in Asia: The Importance of System Perspectives for Transforming Waning Animal-agriculture,"Devendra,  C.",Animal Nutrition Association,2015.0,
24.0,A systematic literature mapping and meta-analysis of animal-based traits as indicators of production diseases in pigs,S. Stavrakakis; F. Loisel; P. Sakkas; N. Le Floc?셡; I. Kyriazakis; G. Stewart; L. Montagne,Cambridge University Press,2019.0,
25.0,"Inter-observer agreement, diagnostic sensitivity and specificity of animal-based indicators of young lamb welfare","Phythian, C.J.; Toft, N.; Cripps, P.J.; Michalopoulou, E.; Winter, A.C.; Jones, P.H.; Grove-White, D.; Duncan, J.S.",CAMBRIDGE UNIVERSITY PRESS,2013.0,
26.0,"Resilience in farm animals: biology, management, breeding and implications for animal welfare","Colditz,  Ian G.; Hine,  Brad C.",CSIRO PUBLISHING,2016.0,
27.0,Breeding amiable animals? Improving farm animal welfare by including social effects in breeding programmes,"Rodenburg, T.B.; Bijma, P.; Ellen, E.D.; Bergsma, R.; de Vries, S.; Bolhuis, J.E.; Kemp, B.; van Arendonk, J.A.M.",UNIVERSITIES FEDERATION FOR ANIMAL WELFARE,2010.0,
28.0,Wildlife in Airport Environments: Preventing Animal-Aircraft Collisions Through Science-Based Management,"Atwell, N.","Elsevier Science B.V., Amsterdam",2014.0,
29.0,Consumer decion-making for animal-friendly products: synthesis and implications,"Ingenbleek, P.T.M.; Immink, V.M.",UNIVERSITIES FEDERATION FOR ANIMAL WELFARE,2011.0,
30.0,Road transport of farm animals: effects of journey duration on animal welfare,"Nielsen, B.L.; Dybkjaer, L.; Herskin, M.S.",CAMBRIDGE UNIVERSITY PRESS,2011.0,
31.0,"Overall welfare assessment of laying hens: Comparing science-based, environment-based and animal-based assessments","SHIMMURA, T.; BRACKE, M. B.; DE MOL, R. M.; HIRAHARA, S.; UETAKE, K.; TANAKA, T.",Blackwell Publishing Ltd.,2011.0,
